LIST OF VARIABLES,,
1,version,Version of ANES 2016 Time Series release
2,V160001,2016 Case ID
3,V160101,Pre-election weight -full sample
4,V160101f,Pre-election weight -FTF sample
5,V160101w,Pre-election weight -Web sample
6,V160102,Post-election weight -full sample
7,V160102f,Post-election weight -FTF sample
8,V160102w,Post-election weight -Web sample
9,V160201,Stratum -full sample
10,V160201f,Stratum -FTF sample
11,V160201w,Stratum -Web sample
12,V160202,Variance PSU -Full sample
13,V160202f,Variance PSU -FTF sample
14,V160202w,Variance PSU -Web sample
15,V160501,Mode of interview
16,V160502,Completed Pre only or completed Pre and Post interviews
17,V161001,PRE: FTF ONLY: Audio Consent
18,V161002,PRE: FTF ONLY: INTERVIEWER : Is R male or female (Observation)
19,V161003,PRE: How often does R pay attn to politics and elections
20,V161004,PRE: How interested in following campaigns
21,V161005,PRE: Did R vote for President in 2012
22,V161006,PRE: Recall of last (2012) Presidential vote choice
23,V161007,PRE: FTF ONLY: HH Internet use
24,V161008,PRE: Days in week watch/listen/read news on any media
25,V161009,PRE: Attention to news on any media
26,V161010a,PRE: Vote section- order of major party candidate names / FTF BallotColor
27,V161010b,PRE: Vote section- household address preloaded (sample address)
28,V161010c,PRE: Vote section- candidate names preloaded for sample address
29,V161010d,PRE: Vote section- FIPS state code for sample address
30,V161010e,PRE: Vote section- 2-char state Postal abbreviation for sample address
31,V161010f,PRE: Vote section- U.S. House District number (115th Congress) for sample address
32,V161011,PRE: Is R registered to vote (pre-election)
33,V161011a,PRE WEB: Is R registered (registration address not answered)
34,V161012,PRE: Address of registration given (not registered at sample address)
35,V161013a,PRE: State included in address of registration (not registered at samp addr)
36,V161013b,PRE: City included in address of registration (not registered at samp addr)
37,V161014,PRE: State of registration - reg state not given (not registered at samp addr)
38,V161015a,PRE: Registration state same as sample address state (all registrations)
39,V161015b,PRE: Registration state (all registrations)
40,V161015c,PRE: Senate race in state of registration (all registrations)
41,V161015d,PRE: Governor race in state of registration (all registrations)
42,V161015e,PRE: Party registration in state of registration (all registrations)
43,V161016,PRE: Is R registered to vote in preload county (resid)
44,V161017,PRE: How many years has R been registered at registration location
45,V161018,PRE: Was name recorded for registration name
46,V161019,PRE: Party of registration
47,V161020,PRE: Does R intend to register to vote
48,V161021,PRE: Did R vote in a Presidential primary or caucus
